ball_init_position_x,ball_init_position_y,ball_init_position_z,estimated_init_vel_x,estimated_init_vel_y,estimated_init_vel_z,intercept_y,intercept_z,hit_vel_intercept_x,hit_vel_intercept_y,hit_vel_intercept_z,table_hit_point_x,table_hit_point_y,table_hit_point_z,end_effector_vel_x,end_effector_vel_y,end_effector_vel_z
1.25,0.0,0.8362,-3.034596259784905,-0.2062653367637032,3.5100829400757405,-0.17808470585777614,1.2107907258101054,-3.034596259784905,-0.2062653367637032,1.9249707789480486,4.176494640728365,-2.303864244345959,0.7514578984940047,3.4009168211538565,0.1797184782617055,4.4054836238040584
1.25,0.0,0.8362,-3.0191738022069536,-0.3014807633855474,3.565217408473078,-0.2616211095541266,1.219365220682141,-3.0191738022069536,-0.3014807633855474,2.0332924979636315,2.0227275116179273,-1.7199749883798812,0.7514939007371305,3.4076245731578267,0.26454199459153044,4.38634863755908
1.25,0.0,0.8362,-3.0312299000651777,0.177069130217838,3.521984961864355,0.15304715790800305,1.2125065627159366,-3.0312299000651777,0.177069130217838,1.9482744843663966,2.251334056642446,-0.6895115906913044,0.7530168072148036,3.4022546599622263,-0.15451198996631396,4.40166119090433
1.25,0.0,0.8362,-3.070505072317591,0.43805293446128596,3.387689375659191,0.37378172686824324,1.1893355722389725,-3.070505072317591,0.43805293446128596,1.688105685763578,2.150293753534186,-1.801834053734166,0.7580803647546083,3.384372598474885,-0.3753758558526724,4.45300303982283
1.25,0.0,0.8362,-2.847545622474481,0.31847695252119274,4.311636868821438,0.2930276547704383,1.2454096683949718,-2.847545622474481,0.31847695252119274,3.585501196987001,-1.5536542130950246,0.1018766431039514,0.7593263657003662,3.428346555211057,-0.2981009943067676,4.327708666961151
1.25,0.0,0.8362,-2.877521995752925,-0.1404301173971111,4.160621080792657,-0.12786241360569,1.2410558319771243,-2.877521995752925,-0.1404301173971111,3.259989366675372,1.576481385062304,-1.2583132614896262,0.7582809687644483,3.4248453664978675,0.12994332189515764,4.3375666653791995
1.25,0.0,0.8362,-3.108168397489557,-0.2962597703408156,3.2677412577383436,-0.24972926142607585,1.1685086658843076,-3.108168397489557,-0.2962597703408156,1.4611883578797005,4.375836104170269,-1.9679081111288526,0.7314654142542272,3.3686308428882406,0.24962780190254588,4.498650906143962
1.25,0.0,0.8362,-2.931314430514309,0.2520415211408178,3.913555790905461,0.22527395168353953,1.2533701916559443,-2.931314430514309,0.2520415211408178,2.7392187539213535,5.828224023507319,-5.679795324835959,0.2428484065015287,3.4347874550272985,-0.22960479026321878,4.309626067272006
1.25,0.0,0.8362,-2.8741742707034312,0.10556242180162573,4.17698638682749,0.09622713136756675,1.2391074902689185,-2.8741742707034312,0.10556242180162573,3.2950147118103774,-1.9209448188823988,1.3345832318529673,0.7572239400159152,3.4232834692226044,-0.09774858994103952,4.3419708705752305
1.25,0.0,0.8362,-3.134200399792668,0.5185074506495646,3.1893433856685416,0.4334405422166768,1.1519657438329214,-3.134200399792668,0.5185074506495646,1.3157606663381038,-0.5480428394750958,1.4848010004720256,0.7129098103526411,3.356342627098379,-0.4316839668114146,4.5345818005631005
