initial_x,initial_y,initial_z,initial_vx,initial_vy,initial_vz,distance_to_x_a,estimated_hit_x,estimated_hit_y,estimated_hit_z,real_hit_x,real_hit_y,real_hit_z,delta_x,delta_y,delta_z
1.25,0.0,0.8362,-2.9057162580182627,-0.4091076235144866,4.027492828377444,2.62,-1.37,-0.3688804681634604,0.9606805517204233,-1.37,-0.368880468163459,1.208045409407845,0.0,1.3877787807814457e-15,0.24736485768742167
1.25,0.0,0.8362,-3.140718408884595,-0.650393066414589,3.170237964113145,2.62,-1.37,-0.5425605266571472,1.1018564802009432,-1.37,-0.5425605266571553,1.1267656239619241,0.0,-8.104628079763643e-15,0.024909143760980967
1.25,0.0,0.8362,-3.1226360903438,0.6442442333237454,3.22367804499331,2.62,-1.37,0.5405432597566546,1.1010925583921625,-1.37,0.5405432597566644,1.1742981514377142,0.0,9.769962616701378e-15,0.07320559304555174
1.25,0.0,0.8362,-2.8665928397355067,-0.04193689234195061,4.2145046030381295,2.62,-1.37,-0.03832935616557546,0.8884611754079078,-1.37,-0.038329356165573446,1.252365264499509,0.0,2.0122792321330962e-15,0.3639040890916011
1.25,0.0,0.8362,-2.8439743757954083,-0.023532489451157105,4.330365499779498,2.62,-1.37,-0.021679211629601194,0.8353962370388054,-1.37,-0.021679211629604168,1.2350962159156411,0.0,-2.9733160378242474e-15,0.3996999788768357
1.25,0.0,0.8362,-3.0344856035357815,0.223697876214604,3.5104709653631616,2.62,-1.37,0.1931425988639895,1.0801173590326754,-1.37,0.19314259886398735,1.2158703727643192,0.0,-2.1371793224034263e-15,0.13575301373164383
1.25,0.0,0.8362,-3.0965075161576117,0.12584852170237504,3.304039698881498,2.62,-1.37,0.10648226272331765,1.098140560909541,-1.37,0.10648226272333366,1.2088093039685086,0.0,1.6014967130217883e-14,0.11066874305896768
1.25,0.0,0.8362,-3.197983554861157,-0.6779735307345205,3.0114265919677585,2.62,-1.37,-0.5554408332789451,1.0988317611073084,-1.37,-0.555440833278942,1.1090010556391376,0.0,3.1086244689504383e-15,0.010169294531829243
1.25,0.0,0.8362,-3.083778938862771,-0.29656657633377204,3.3444991111672007,2.62,-1.37,-0.2519650225904405,1.0958219320367781,-1.37,-0.2519650225904413,1.1624195242421362,0.0,-7.771561172376096e-16,0.0665975922053581
1.25,0.0,0.8362,-3.062678158201777,0.6809449178039464,3.4136005795614466,2.62,-1.37,0.5825214379345177,1.0905264798780852,-1.37,0.5825214379345236,1.229149346940879,0.0,5.88418203051333e-15,0.1386228670627938
1.25,0.0,0.8362,-2.982206024820755,0.5130485180951031,3.704276191553859,2.62,-1.37,0.4507358332125838,1.0484339134514802,-1.37,0.4507358332125722,1.2500079817757168,0.0,-1.1601830607332886e-14,0.20157406832423663
1.25,0.0,0.8362,-2.8370038085443205,0.11556978886897501,4.367308510601591,2.62,-1.37,0.10672979920745292,0.8171017372037227,-1.37,0.10672979920745834,1.2433763372162945,0.0,5.4262150328554526e-15,0.4262746000125718
1.25,0.0,0.8362,-3.128020038903685,0.210873906207703,3.207677147895449,2.62,-1.37,0.17662598940952423,1.101408779296838,-1.37,0.1766259894095266,1.1520927288932286,0.0,2.3592239273284576e-15,0.050683949596390665
1.25,0.0,0.8362,-3.1108410881118687,-0.479717796139946,3.2594972201212435,2.62,-1.37,-0.4040259821338263,1.1000470771294795,-1.37,-0.40402598213381313,1.2038577898846499,0.0,1.3156142841808105e-14,0.1038107127551704
1.25,0.0,0.8362,-3.1686487759370507,0.39584423176841316,3.0909394051534456,2.62,-1.37,0.3273041477834797,1.101302059925387,-1.37,0.32730414778347533,1.1501448793966618,0.0,-4.385380947269368e-15,0.04884281947127467
1.25,0.0,0.8362,-2.947663826354141,-0.4336981100786444,3.8438986991263135,2.62,-1.37,-0.3854880051947726,1.0160794014920962,-1.37,-0.3854880051947652,1.2414276960925374,0.0,7.382983113757291e-15,0.22534829460044126
1.25,0.0,0.8362,-3.020439446048311,-0.625680868715577,3.5605529849893003,2.62,-1.37,-0.5427302567444328,1.073361975193101,-1.37,-0.5427302567444324,1.2075433871222878,0.0,3.3306690738754696e-16,0.13418141192918687
1.25,0.0,0.8362,-3.0350937974739267,0.05781201599999717,3.5083406927062466,2.62,-1.37,0.04990537097932762,1.080382080147484,-1.37,0.04990537097931387,1.2212098927145392,0.0,-1.3752887717544127e-14,0.14082781256705523
1.25,0.0,0.8362,-2.843772794892665,-0.21822602898453283,4.331410974094911,2.62,-1.37,-0.20105410564667003,0.8348909596114383,-1.37,-0.2010541056466734,1.2336470139128273,0.0,-3.3584246494910985e-15,0.39875605430138894
1.25,0.0,0.8362,-3.1976969239268627,-0.2440362530195884,3.0122708184422198,2.62,-1.37,-0.19994858741214003,1.098859504730724,-1.37,-0.19994858741213972,1.1053671122898456,0.0,3.0531133177191805e-16,0.00650760755912172
1.25,0.0,0.8362,-2.866895667048439,-0.4866650065493425,4.212922906994789,2.62,-1.37,-0.44475365176856785,0.8891561294077208,-1.37,-0.4447536517685659,1.2572028207687564,0.0,1.942890293094024e-15,0.3680466913610356
1.25,0.0,0.8362,-2.9548574047424125,-0.3018071680050865,3.8140346049264906,2.62,-1.37,-0.26760505562949777,1.0236884851275547,-1.37,-0.2676050556295058,1.257998019410082,0.0,-8.049116928532385e-15,0.2343095342825272
1.25,0.0,0.8362,-3.021837699918919,-0.0935970782681898,3.5555964258000827,2.62,-1.37,-0.08115073323403077,1.0740594276595727,-1.37,-0.08115073323402304,1.2184096726253215,0.0,7.729927808952652e-15,0.14435024496574878
